Place,Player,Alias,Character(s),Event Name,Year,Game Played
3rd,Julien Beasley,Zass,M. Bison,EVO 2010[],2010,Super Street Fighter II Turbo 
4th,Alex,GamerTron,Balrog,EVO 2010[],2010,Super Street Fighter II Turbo 
5th,Louis Paquin,Thelo,E. Honda,EVO 2010[],2010,Super Street Fighter II Turbo 
5th,Unknown,krost,O. Ken,EVO 2010[],2010,Super Street Fighter II Turbo 
7th,Nicholas Inabnit,NKI,Chun-Li,EVO 2010[],2010,Super Street Fighter II Turbo 
7th,Unknown,Marsgatti,Guile,EVO 2010[],2010,Super Street Fighter II Turbo 
1st,Keita Ai,Fuudo,Fei Long,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition
2nd,Abdullatif Alhmili,Latif,C. Viper,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition
3rd,Chung-gon Lee,POONGKO,Seth,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition
4th,Daigo Umehara,The Beast,Yun,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition
5th,Yosuke Ito,Kindevu,Yun,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition
5th,Hajime Taniguchi,Tokido,Akuma,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition
7th,Joshua Philpot,Wolfkrone,C. Viper,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition
7th,Peter Susini,FlashMetroid,Zangief/C. Viper,EVO 2011[],2011,Super Street Fighter IV: Arcade Edition
1st,Daigo Umehara,The Beast,Balrog,EVO 2011[],2011,Super Street Fighter II Turbo
2nd,Damien Dailidenas,Damdai,O. Hawk/O. Ken,EVO 2011[],2011,Super Street Fighter II Turbo
3rd,Hajime Taniguchi,Tokido,Vega,EVO 2011[],2011,Super Street Fighter II Turbo
4th,Alex Valle,CaliPower,Ryu,EVO 2011[],2011,Super Street Fighter II Turbo
5th,Bob Painter,kuroppi,E. Honda/Zangief,EVO 2011[],2011,Super Street Fighter II Turbo
5th,Unknown,DGV,Ryu,EVO 2011[],2011,Super Street Fighter II Turbo
7th,Jason Cole,AfroCole,Dhalsim,EVO 2011[],2011,Super Street Fighter II Turbo
7th,Arturo Sanchez,Sabin,Dhalsim,EVO 2011[],2011,Super Street Fighter II Turbo
1st,Seon-woo Lee,Infiltration,Akuma,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition
2nd,Bruce Hsiang,Gamerbee,Adon,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition
3rd,Eduardo Perez,PR Balrog,Balrog,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition
4th,Zhuojun Zeng,XiaoHai,Cammy,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition
5th,Daigo Umehara,Daigo Umehara,Ryu,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition
5th,Jonny Cheng,Human Bomb,Sakura,EVO 2012[],2012,Super Street Fighter IV: Arcade Edition
